Branch,Route,Location,Place,Telemetry Device ID,Asset ID,Asset Type,Asset Class,Selection,Group,Item,Item Code,Current Level,Par,Depletion Limit,Capacity,Price,Desired Price,Has Price Mismatch,Avg Weekly Vends,Days Since Last Sale,Has Pending Planogram Change,Column Number,Quantity
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,103,,OD Salt+Vinegar Chips,152004,1,9,2,9,$1.75,$1.75,No,4.1468,0.85,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,105,,OD Sour Cream+Onion Chips,152005,4,9,2,9,$1.75,$1.75,No,3.36,2.85,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,107,,OD Original Chips,152001,8,9,2,9,$1.75,$1.75,No,2.6467,6.53,No,7,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,201,,FL Big Grab Doritos Nacho Cheese Tortilla Chips,206017,4,9,2,9,$2.25,$2.25,No,4.2931,3.52,No,1,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,203,,FL Big Grab Ruffles All Dressed chips,206019,6,9,2,9,$2.25,$2.25,No,4.8202,0.85,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,205,,OD Big Bag Jalapeno & Cheddar Chips,15410,6,9,2,9,$2.25,$2.25,No,3.6197,2.85,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,207,,FL Big Grab Smartfood White Cheddar Popcorn,206020,4,9,2,9,$2.25,$2.25,No,2.66,1.53,No,7,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,301,,OD Big Bag Crunchy s Nacho Cheese,154009,2,9,2,9,$2.25,$2.25,No,4.7467,1.86,No,1,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,303,,OD Big Bag BBQ Corn Chips,154008,3,9,2,9,$2.25,$2.25,No,4.9602,0.53,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,305,,FL Sun Chips Harvest Cheddar,211054,3,9,2,9,$2.25,$2.25,No,2.2666,2.85,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,307,,OD Sour Cream+Onion Chips,152005,7,9,2,9,$2.25,$2.25,No,2.7265,7.53,No,7,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,401,,Skittles Tropical,354011,6,11,2,15,$2.50,$2.50,No,2.1735,5.53,No,1,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,402,,CLIF Bar Crunchy Peanut Butter,573141,8,8,2,17,$2.75,$2.75,No,0.7798,3.52,No,2,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,403,,CLIF Bar Chocolate Almond Fudge,880431,5,6,2,16,$2.75,$2.75,No,1.1536,2.04,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,404,,Mars,254001,12,15,2,15,$2.25,$2.25,No,1.7332,0.85,No,4,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,405,,OH Henry,252001,10,10,2,15,$2.25,$2.25,No,0.9065,29.82,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,406,,CLIF Builder s Bar Chocolate Mint,573144,10,15,2,15,$3.25,$3.25,No,0.7868,6.85,No,6,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,407,,Excel Multipac 27 s,455001,12,15,2,15,$2.00,$2.00,No,0.8932,18.86,No,7,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,408,,Halls Honey Lemon,362004,6,8,2,15,$2.00,$2.00,No,3.3999,0.85,No,8,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,501,,Vitali-T Chocolate Cranberries & Almonds,252018,4,4,2,15,$3.00,$3.00,No,0.427,10.53,No,1,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,502,,Snickers,254006,12,12,2,16,$2.25,$2.25,No,2.2267,21.19,No,2,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,503,,OH Henry,252001,16,16,2,17,$2.25,$2.25,No,1.1865,9.86,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,504,,Coffee Crisp,251004,12,15,2,16,$2.25,$2.25,No,1.4735,1.86,No,4,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,505,,Twix,254008,9,12,2,17,$2.25,$2.25,No,0.56,3.86,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,506,,Smarties,251007,1,8,2,16,$2.25,$2.25,No,2.9267,0.85,No,6,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,507,,Reese s Peanut Butter Cups,252007,12,15,2,17,$2.25,$2.25,No,5.1534,0.53,No,7,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,508,,Kit Kat,251010,12,15,2,20,$2.25,$2.25,No,1.9936,6.53,No,8,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,601,,Crispy Mini Cheddar,5590001,2,4,2,9,$1.75,$1.75,No,1.7864,0.85,No,1,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,603,,FL Big Grab Hickory Sticks,152039,8,9,2,9,$2.25,$2.25,No,0.8134,40.82,No,3,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,605,,OD Hawkins Cheezies,156002,7,9,2,9,$2.00,$2.00,No,2.8336,0.85,No,5,0
Quality Vending and Coffee Service,Route 03,COSTCO (St James) - 50155,Snack,C015116521215,1404,NAT 980,Snack,607,,Huer Sour Neon Worms,507201,5,6,2,9,$2.50,$2.50,No,1.0136,7.86,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,101,,OD Salt+Vinegar Chips,152004,8,9,2,9,$2.00,$2.00,No,6.3336,2.86,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,103,,FL Big Grab Hickory Sticks,152039,7,9,2,9,$2.50,$2.50,No,4.7201,2.53,No,3,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,105,,OD Original Chips,152001,4,9,2,9,$2.00,$2.00,No,3.1136,1.86,No,5,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,107,,OD Original Chips,152001,8,9,2,9,$2.00,$2.00,No,3.1332,16.19,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,109,,OD Sour Cream+Onion Chips,152005,8,9,2,9,$2.00,$2.00,No,4.5402,1.53,No,9,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,111,,FL Innovation Chips Regular,157003,1,9,2,9,$2.00,$2.00,No,4.5465,0.53,No,11,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,201,,FL Big Grab Smartfood White Cheddar Popcorn,206020,9,9,2,9,$2.50,$2.50,No,4.5864,3.53,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,203,,OD Big Bag Arriba Nacho Tortilla Chips,154013,6,9,2,9,$2.50,$2.50,No,7.147,0.2,No,3,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,205,,OD Big Bag Crunchy s Nacho Cheese,154009,7,9,2,9,$2.50,$2.50,No,2.9134,0.2,No,5,2
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,207,,OD Big Bag BBQ Corn Chips,154008,9,9,2,9,$2.50,$2.50,No,6.153,3.53,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,209,,OD Big Bag Sea Salt & Malt Vinegar,880092,3,9,2,9,$2.50,$2.50,No,4.0803,0.2,No,9,2
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,211,,OD Big Bag Jalapeno & Cheddar Chips,15410,6,9,2,9,$2.50,$2.50,No,6.3266,0.87,No,11,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,301,,FL Baked Lays BBQ Chips,153018,3,6,2,9,$2.00,$2.00,No,1.4203,2.86,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,303,,FL Sun Chips Garden salsa,211053,8,9,2,9,$2.00,$2.00,No,3.353,2.86,No,3,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,305,,FL Sun Chips French Onion,211059,9,9,2,9,$2.00,$2.00,No,5.2269,4.85,No,5,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,307,,FL Baked Ruffles Cheddar & Sour Cream Chips,206001,4,9,2,9,$2.00,$2.00,No,3.8997,2.53,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,309,,FL Baked Lays BBQ Chips,153018,5,9,2,9,$2.00,$2.00,No,2.24,0.2,No,9,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,311,,OD Popcorn Twists,153105,7,9,2,9,$2.00,$2.00,No,5.733,2.53,No,11,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,401,,Big Daddy Oatmeal Raisin Cookies,880328,5,5,2,15,$2.50,$2.50,No,1.0864,10.53,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,403,,Welch Mixed Fruit Snacks,507106,12,15,2,15,$2.25,$2.25,No,4.9336,0.2,No,3,2
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,405,,Excel Multipac 27 s,455001,7,7,2,15,$2.25,$2.25,No,1.7003,5.87,No,5,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,406,,Halls Cherry,362002,4,7,2,15,$2.25,$2.25,No,0.5936,2.53,No,6,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,407,,Gorp Peanut Butter & Raspberry,108014,4,5,2,15,$4.75,$4.75,No,0.42,13.86,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,408,,CLIF Builder s Bar Chocolate Mint,573144,5,5,2,15,$3.25,$3.25,No,0.9002,31.82,No,8,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,409,,Hershey Almond,252008,9,10,2,15,$2.50,$2.50,No,1.393,5.52,No,9,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,410,,Kit Kat,251010,10,15,2,15,$2.50,$2.50,No,2.8336,1.53,No,10,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,411,,Fibre 1 Bar,573116,11,15,2,15,$2.00,$2.00,No,2.0664,0.2,No,11,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,412,,Kirkland Dipped & Chewy Granola Bar,880456,3,9,2,15,$2.00,$2.00,No,0.8519,0.53,No,12,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,501,,OH Henry,252001,12,17,2,17,$2.50,$2.50,No,3.5665,2.53,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,502,,OH Henry,252001,13,17,2,17,$2.50,$2.50,No,1.5001,6.2,No,2,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,503,,Innovation Bars,157004,13,17,2,17,$2.50,$2.50,No,1.26,2.53,No,3,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,504,,Snickers,254006,11,17,2,17,$2.50,$2.50,No,1.3398,0.2,No,4,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,505,,Mars,254001,8,8,2,17,$2.50,$2.50,No,2.2134,4.85,No,5,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,506,,Reese s Peanut Butter Cups,252007,12,15,2,17,$2.50,$2.50,No,2.373,2.53,No,6,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,507,,Aero,251001,11,12,2,17,$2.50,$2.50,No,2.5732,3.86,No,7,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,508,,Coffee Crisp,251004,14,15,2,17,$2.50,$2.50,No,3.493,1.53,No,8,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,509,,CLIF Bar Chocolate Chip,573142,10,10,2,17,$3.00,$3.00,No,0.6468,13.86,No,9,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,510,,Vitali-T Chocolate Cranberries & Almonds,252018,8,8,2,17,$3.25,$3.25,No,1.127,3.53,No,10,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,511,,Vitali-T Choco Trail Mix,252020,7,8,2,17,$3.25,$3.25,No,2.807,3.19,No,11,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,512,,Vitali-T Soy Almonds,880240,5,5,2,17,$3.25,$3.25,No,3.1136,3.53,No,12,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,601,,OD Hawkins Cheezies,156002,16,17,2,17,$2.25,$2.25,No,11.1867,0.53,No,1,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,603,,Big Daddy Chocolate Chunk Cookies,880326,9,11,4,11,$2.50,$2.50,No,3.0401,0.2,No,3,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,605,,Huer Gummy Sour Suckers,880336,7,8,2,11,$2.75,$2.50,Yes,1.8536,0.53,No,5,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,607,,Huer Sour Neon Worms,507201,5,7,2,11,$2.75,$2.50,Yes,2.3331,0.2,No,7,1
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,609,,Crispy Mini Cheddar,5590001,8,11,2,11,$1.75,$1.75,No,3.3999,3.53,No,9,0
Quality Vending and Coffee Service,Route 04,Deer Lodge Centre,Snack,C015015521035,4503,Snack (Crane Merchant),Snack,611,,Huer Cola Bottles,880337,10,11,2,11,$2.75,$2.50,Yes,0.4802,5.19,No,11,0
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,1,,PC Pepsi Cola 355ml Can,102001,23,24,12,96,$1.75,$1.75,No,1.3202,0.12,No,1,1
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,11,,PC Aquafina 591ml Bottle,109104,6,12,6,24,$2.75,$2.75,No,0.6601,8.83,No,11,0
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,5,,PC Diet 7 Up 355ml Can,102004,6,8,6,48,$1.75,$1.75,No,0.5866,9.33,No,5,0
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,6,,PC Lipton Brisk 355ml Can,103001,10,12,6,48,$1.75,$1.75,No,1.2068,0.12,No,6,1
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,7,,PC Mug Root Beer 355ml Can,102009,16,18,6,48,$1.75,$1.75,No,0.8799,3.13,No,7,0
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,8,,PC Schweppes Ginger Ale 355ml Can,102012,6,8,6,48,$1.75,$1.75,No,0.0798,44.65,No,8,0
Quality Vending and Coffee Service,Route 05,ActionMarguerite St Vital - 50047,Pepsi,176541,427,V 721,Bev,9,,PC Dole Apple Juice 340ml Can,105102,0,8,6,48,$2.00,$2.00,No,0.5201,31.43,No,9,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,A0,,FL Big Grab Ruffles All Dressed chips,206019,1,9,2,9,$2.25,$2.25,No,8.1669,0.19,No,0,4
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,A2,,OD Big Bag Salt & Vinegar Chips,154025,6,9,2,9,$2.25,$2.25,No,1.68,4.86,No,2,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,A4,,OD Big Bag Ketchup Chips,154028,7,9,2,9,$2.25,$2.25,No,3.087,0.53,No,4,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,A6,,OD Big Bag Sour Cream & Onion,154027,5,9,2,9,$2.25,$2.25,No,7.7336,0.19,No,6,1
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,A8,,OD Big Bag Mexican Chili Chips,154029,9,9,2,9,$2.25,$2.25,No,5.1268,6.51,No,8,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,B0,,FL Big Grab Hickory Sticks,152039,5,9,2,9,$2.25,$2.25,No,3.5868,0.27,No,0,1
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,B2,,OD Big Bag Arriba Zesty Tortilla Chips,154014,3,9,2,9,$2.25,$2.25,No,6.7998,0.27,No,2,3
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,B4,,OD Big Bag Jalapeno & Cheddar Chips,15410,5,9,2,9,$2.25,$2.25,No,7.8736,0.19,No,4,2
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,B6,,FL Big Grab Doritos Sweet Chili Heat Tort Chips,206023,1,9,2,9,$2.25,$2.25,No,7.0798,0.27,No,6,3
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,B8,,OD Big Bag BBQ Corn Chips,154008,-3,9,2,9,$2.25,$2.25,No,7.7665,0.27,No,8,1
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C0,,OD Big Bag Arriba Nacho Tortilla Chips,154013,0,9,2,9,$2.25,$2.25,No,9.9267,0.27,No,0,1
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C2,,FL Big Grab Sun Chips Harvest Cheddar,206022,0,9,2,9,$2.25,$2.25,No,5.187,6.19,No,2,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C4,,FL Big Grab Sun Chips Harvest Cheddar,206022,1,9,2,9,$2.25,$2.25,No,3.6666,1.53,No,4,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C6,,Tums Fruit,1007005,3,5,2,17,$2.25,$2.25,No,0.553,0.85,No,6,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C7,,Halls Honey Lemon,362004,16,17,2,17,$2.25,$2.25,No,7.3598,2.19,No,7,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C8,,Fibre 1 Bar,573116,9,12,2,17,$2.00,$2.00,No,3.5203,5.2,No,8,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,C9,,Fruit Source Assorted,573102,4,5,2,17,$2.00,$2.00,No,0.3598,1.19,No,9,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D0,,Jack Link s Original Steak Strip Bar,880166,5,8,2,15,$3.50,$3.50,No,4.5801,0.85,No,0,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D1,,Hershey Special Dark Chocolate,252009,10,11,2,15,$2.50,$2.50,No,1.8466,0.19,No,1,1
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D2,,Mars,254001,11,15,2,15,$2.50,$2.50,No,2.933,4.19,No,2,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D3,,Twix,254008,5,5,2,15,$2.50,$2.50,No,2.9134,4.86,No,3,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D4,,Skittles Tropical,354011,11,11,2,15,$2.75,$2.75,No,0.1197,61.82,No,4,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D5,,Coffee Crisp,251004,14,15,2,15,$2.50,$2.50,No,5.4068,0.53,No,5,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D6,,Kit Kat,251010,4,10,2,17,$2.50,$2.50,No,10.1598,0.19,No,6,2
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D7,,Aero,251001,10,10,2,17,$2.50,$2.50,No,1.6401,5.2,No,7,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D8,,Skittles - Original (Red),354012,9,9,2,17,$2.75,$2.75,No,0.3003,33.16,No,8,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,D9,,Kit Kat,251010,9,10,2,18,$2.50,$2.50,No,3.7331,3.53,No,9,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,E0,,OD Hawkins Cheezies,156002,7,9,2,9,$2.00,$2.00,No,6.0403,1.53,No,0,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,E2,,Huer Gummy Sour Suckers,880336,6,9,2,9,$2.75,$2.50,Yes,3.0597,0.53,No,2,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,E4,,Two Bite Brownies,556500,2,10,2,10,$2.75,$2.75,No,9.1266,1.19,No,4,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,E6,,Big Daddy Chocolate Chunk Cookies,880326,0,15,2,17,$2.25,$2.25,No,6.5268,23.53,No,6,0
Quality Vending and Coffee Service,Route 13,Maple Leaf Foods (Back Lunchroom) - 52038,Peanut Free,C015116521205,3465,NAT 167M,Snack,E8,,Big Daddy Oatmeal Raisin Cookies,880328,1,15,2,17,$2.25,$2.25,No,8.1599,0.53,No,8,0
Quality Vending and Coffee Service,Route 07,Winnipeg Transit (Training) - 50241,,C014518050094,3161,Snack NAT 168,Snack,A0,,FL Big Grab Cheetos Cheddar Popcorn,880471,9,9,2,9,$2.00,$2.00,No,0.3801,34.49,No,0,0
Quality Vending and Coffee Service,Route 07,Winnipeg Transit (Training) - 50241,,C014518050094,3161,Snack NAT 168,Snack,A2,,FL Big Grab Doritos Sweet Chili Heat Tort Chips,206023,7,9,2,9,$2.50,$2.50,No,2.9533,0.2,No,2,1
